S1;S2;S3;S4;S5;S6;S7;Signatur;Benennung;Profitent;Abt;Datierungvon;Datierungbis;Höhe;Breite;Fläche;Material;Ausstattung;Sprache;Bemerkung;Nalt1;Nalt2;Sortierung;Text;Invocatio;Intitulatio;Arenga;Dispositio;Testes;Datierung22;FuI;Datierungvon2;Datierungbis2;Datierungtext
2;A;1;;;;;StAS 2.A.1;Professurkunde des Erbinger, Dietricus;Erbinger, Dietricus;Gundaker;13180101;13181231;70;193;13510;Pergament;Initiale E, zweifärbig;Latein;;1;;0002A0001000000000000;Ego frater ditricus Erbinger dyaconus promitto stabilitatem et conversationem morum meorum et obedientiam secundum regulam sancti benedicti coram deo et sanctis eius in hoc monasterio quod est constructum in honore sancte dei genitricis semperque virginis marie et sanctorum qui hic sunt in presencia domini Gundacheri abbatis. Anno Domini millesimo ccc mo xviii o;;Ego frater Ditricus Erbinger dyaconus;;promitto stabilitatem et conversationem morum meorum et obedientiam secundum regulam sancti benedicti;coram deo et sanctis eius in hoc monasterio quod est constructum in honore sancte dei genitricis semperque virginis marie et sanctorum qui hic sunt in presencia domini Gundacheri abbatis;Anno Domini millesimo ccc mo xviii o;"Abt: Gundaker 
Abmessungen (BxH in mm): 193x70";01.01.1318;31.12.1318;1318
2;A;2;;;;;StAS 2.A.2;Professurkunde des Nicolaus Diaconus;Nicolaus Diaconus;Gundaker;13180101;13241231;66;173;11418;Pergament;Initiale E;Latein;;2;;0002A0002000000000000;Ego frater Nycolaus dyaconus promitto stabilitatem et conversionem morum meorum et obedienciam secundum regulam sancti Benedicti coram deo et sanctis eius in hoc monasterio quod est constructum in honore sancte dei genitricis semperque virginis Marie et sanctorum qui hic sunt in presencia domini Gundagkeri Abbatis. Suscipe me secundum eloquium et vivam et non confundas me ab exspectacione mea;;Ego frater Nycolaus dyaconus;;promitto stabilitatem et conversionem morum meorum et obedienciam secundum regulam sancti Benedicti;coram deo et sanctis eius in hoc monasterio quod est constructum in honore sancte dei genitricis semperque virginis Marie et sanctorum qui hic sunt in presencia domini Gundagkeri Abbatis;;"Abt: Gundaker 
Abmessungen (BxH in mm): 173x66";01.01.1318;31.12.1324;1318-1324
2;A;3;;;;;StAS 2.A.3;Professurkunde des Conradus Subdiaconus;Conradus Subdiaconus;Gundaker;13180101;13241231;42;192;8064;Pergament;;Latein;;3;;0002A0003000000000000;Ego frater Chunradus subdiaconus promitto stabilitatem et conversionem morum meorum et obedienciam secundum regulam sancti Benedicti coram deo et sanctis eius in hoc monasterio quid est constructum in honore sancte dei genitricis semperque virginis Marie et sanctorum qui hic et in presencia domini Guntacheri abbatis. Suscipe me domine secundum eloquium tuum et vivam et non confundas me ab exspectatione mea;;Ego frater Chunradus subdiaconus;;promitto stabilitatem et conversionem morum meorum et obedienciam secundum regulam sancti Benedicti ;coram deo et sanctis eius in hoc monasterio quid est constructum in honore sancte dei genitricis semperque virginis Marie et sanctorum qui hic et in presencia domini Guntacheri abbatis;;"Abt: Gundaker 
Abmessungen (BxH in mm): 192x42";01.01.1318;31.12.1324;1318-1324
2;A;4;;;;;StAS 2.A.4;Professurkunde des Ulricus Subdiaconus;Ulricus Subdiaconus;Gundaker;13180101;13241231;63;106;6678;Pergament;;Latein;;4;;0002A0004000000000000;Ego frater Ulricus subdiaconus promitto stabilitatem et conversionem morum meorum et obedientiam in regulam sancti benedicti coram deo et sanctis eius in hoc monasterio quod est constructum in honore sancte dei genitricis semperque virginis marie et sanctorum qui hic sunt inpresencia domini gundachi abbatis. Suscipe me domine secundum eloquium tuum et vivam et non confundas me ab expectatione mea. + AMEN;;Ego frater Ulricus subdiaconus;;promitto stabilitatem et conversionem morum meorum et obedientiam in regulam sancti benedicti ;coram deo et sanctis eius in hoc monasterio quod est constructum in honore sancte dei genitricis semperque virginis marie et sanctorum qui hic sunt inpresencia domini gundachi abbatis;;"Abt: Gundaker 
Abmessungen (BxH in mm): 106x63";01.01.1318;31.12.1324;1318-1324
2;A;5;;;;;StAS 2.A.5;Professurkunde des Johannes Sacerdos;Johannes Sacerdos;Ottaker;13240101;13281231;117;139;16263;Pergament;;Latein;;5;;0002A0005000000000000;Ego frater Johannes sacerdos promitto stabilitatem meam et conversionem morum meorum et obedientiam secundum regulam sancti benedicti coram deo et omnibus sanctis eius in hoc loco qui vocatus sytansteten constructo in honore beate marie virginis et sanctorum qui hic sunt pin presencia domini Ottacheri abbatis. Suscipe me domine secundum eloquium tuum et vivam et non confundas me ab exspectatione mea.;;Ego frater Johannes sacerdos;;promitto stabilitatem meam et conversionem morum meorum et obedientiam secundum regulam sancti benedicti;;;"Abt: Ottaker 
Abmessungen (BxH in mm): 139x117";01.01.1324;31.12.1328;1324-1328
2;A;6;;;;;StAS 2.A.6;Professurkunde des Burchardus Diaconus;Burchardus Diaconus;Ottaker;13240101;13281231;72;202;14544;Pergament;;Latein;;6;;0002A0006000000000000;Ego frater purchardus dyaconus promitto stabilitatem meam et conversionem morum meorum et obedienciam secundum regulam sancti benedicti coram deo et omnibus sanctis eius in hoc loco qui vocatur sytansteten constructo in honore beate marie virginis et sanctorum qui hic sunt in presencia domini ottacheri abbatis. Suscipe me domine secundum eloquium tuum et vivam et non confundas me ab expectatione mea.;;Ego frater purchardus dyaconus;;promitto stabilitatem meam et conversionem morum meorum et obedienciam secundum regulam sancti benedicti;;;"Abt: Ottaker 
Abmessungen (BxH in mm): 202x72";01.01.1324;31.12.1328;1324-1328
2;A;7;;;;;StAS 2.A.7;Professurkunde des Waltherus Sacerdos;Waltherus Sacerdos;Dittricus;13280101;13371231;39;203;7917;Pergament;Initiale E;Latein;;7;;0002A0007000000000000;Ego frater Waltherus sacerdos promitto stabilitatem meam et conversionem morum meorum et obedientiam secundum regulam sancti Benedicti coram deo et omnibus sanctis eius in hoc loco qui vocatur Seytensteten constituto in honore gloriose virginis Marie et sanctorum qui hic sunt In presencia domini Dittrici Abbatis Suscipe me Domine secundum eloquium tuum et vivam! et ne confundas me ab expectatione mea.;;Ego frater Waltherus sacerdos;;promitto stabilitatem meam et conversionem morum meorum et obedientiam secundum regulam sancti Benedicti;;;"Abt: Dittricus 
Abmessungen (BxH in mm): 203x39";01.01.1328;31.12.1337;1328-1337
2;A;8;;;;;StAS 2.A.8;Professurkunde des Ekfridus Diaconus;Ekfridus Diaconus;Dittricus;13280101;13371231;63;202;12726;Pergament;Initiale E;Latein;;8;;0002A0008000000000000;Ego frater Ekfridus Dyaconus promitto stabilitatem meam et conversionem morum meorum et obedientiam secundum regulam sancti Benedicti coram deo et omnibus sanctis eius in hoc loco qui vocatur Seytensteten constituto in honore gloriose virginis Marie et sanctorum qui hic sunt. Inpresencia domini Dittrici Abbatis. Suscipe me domine secundum eloquium tuum et vivam! Et ne confundas me ab expectatione mea. Si despicis me pereo et si perspicis cum misericordia vetentem et suscitas de sepulchro.;;Ego frater Ekfridus dyaconus;;promitto stabilitatem meam et conversionem morum meorum et obedientiam secundum regulam sancti Benedicti;;;"Abt: Dittricus 
Abmessungen (BxH in mm): 202x63";01.01.1328;31.12.1337;1328-1337
2;A;9;;;;;StAS 2.A.9;Professurkunde des Engelschalcus Subdiaconus;Engelschalcus Subdiaconus;Dittricus;13280101;13371231;52;195;10140;Pergament;;Latein;;9;;0002A0009000000000000;Ego frater Engelschalcus subdyaconus promitto stabilitatem meam et conversionem morum meorum et obedientiam secundum regulam sancti benedicti coram deo et omnibus sanctis eius in hoco loco qui vocatur seytensteten constructo in honore beate Marie virginis et sanctorum qui hic sunt in presencia domini mei dittrici Abbatis. Suscipe meo domine secundum eloquium tuum et vivam et non confundas me ab expsectatione mea.;;Ego frater Engelschalkus subdyaconus;;promitto stabilitatem meam et conversionem morum meorum et obedientiam secundum regulam sancti benedicti;;;"Abt: Dittricus 
Abmessungen (BxH in mm): 195x52";01.01.1328;31.12.1337;1328-1337
2;A;10;;;;;StAS 2.A.10;Professurkunde des Andreas Subdiaconus;Andreas Subdiaconus;Dittricus;13280101;13371231;44;202;8888;Pergament;;Latein;Wasserschäden;10;;0002A0010000000000000;Ego Frater Benedictus subdyaconus promitto stabilitatem meam et conversionem morum meorum et obedienciam secundum regulam sancti Benedicti coram deo et hominibus et omnibus sanctis eius in hoco loco qui vocatur Seyteinsteten constituto in honore gloriose virginis marie et sanctorum qui hic sunt. Inpresencia Domini Dittrici Abbatis. Suscipe me domine secundum eloquium tuum et vivam. Et non confundas me ab expectatione mea. et conserva me in omni opere bono et perduc me ?? ad vitam eternam Amen.;;Ego frater Benedictus subdyaconus;;promitto stabilitatem meam et conversionem morum meorum et obedienciam secundum regulam sancti Benedicti;;;"Abt: Dittricus 
Abmessungen (BxH in mm): 202x44";01.01.1328;31.12.1337;1328-1337
