Signatur;Kategorie;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;ErfasstVon;ErfasstAm;GeaendertAm;Exportiert;ExportiertAm;ExportHinweis
9.6.1;Brief;Doerr, August von;vermutl. P. Joseph Schock;19120626;Smilkau, Böhmen;Anfrage zu Informationen über Martin Gastgeb, Hofrichter zu Seitenstetten, im Jahr 1568 ;;Autographensammlung A2, Adel 1;;;;;;;
9.6.2;Visitenkarte;Eiselsberg, Eugenie Edle von;;18790927;Linz;Glückwünsche zum Namensfest;;Autographensammlung A2, Adel 1;;;;;;;
9.6.3;Visitenkarte;Fabrici, Erwin Edler von Südwalden;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.4;Visitenkarte;Friedrich, Josef Ritter von Stromfeld;;19129999;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.5;Brief;Gutmann-Wodianer, Ida von;;;Wien;"Dank für schöne Karten und Ex Libris und Versicherung sich ""auf möglichst interessante Art zu revanchieren""";;Autographensammlung A2, Adel 1;;;;;;;
9.6.6;Foto;;;18730223;;Zur freundlichen Erinnerung an den alten Gefährten;;Autographensammlung A2, Adel 1;;;;;;;
9.6.7;Visitenkarte;Libianchi, Emilia;;;;;nata Giulj;Autographensammlung A2, Adel 1;;;;;;;
9.6.8;Visitenkarte;Mayr von Melnhof, Marie;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.9;Visitenkarte;Mertens, Gisela von;;;;;geb. Gräfin Forgach;Autographensammlung A2, Adel 1;;;;;;;
9.6.10;Visitenkarte;Neumann-Ettenreich, Dr. Robert von ;;;;;k.k. Landesgerichtsrath und a.o. Professor an der k.u.k. orientalischen Akademie;Autographensammlung A2, Adel 1;;;;;;;
9.6.11;Fragment;Posch, Johann Michael (?);;;;;Jahreszahl 1768 handschriftlich auf dem Blatt vermerkt;Autographensammlung A2, Adel 1;;;;;;;
9.6.12;Visitenkarte;Sperl de Raabthal, Francoise;;;;Glück- und Segenswünsche zum Jahreswechsel;;Autographensammlung A2, Adel 1;;;;;;;
9.6.13;Brief;Frau von Taulow;;19040223;;Bitte um Auskunft über den Student Julius Seelig, der 1903 im Stift Seitenstetten maturiert hat und  ihrem 11-jährigen Sohn Privatunterricht erteilen soll;geb. Baronin Bieschin;Autographensammlung A2, Adel 1;;;;;;;
