Kategorie;SignaturUeberordnung;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;Ueberfuehrt;UeberfuehrtAm;ErzeugteSignatur;UeberfuehrungsHinweis
Karte;3.1.533.2;Wagner, Aemilian;Unterhofer, Anton;19321214;Salzburg;;S. 1;;;;;;
Brief;3.1.460.2.1;Klimesch, Matthäus;Friess, Gottfried;18990401;Laibach;Dr. Klimesch übersendet ein Buch und bittet P. Gottfried wenn möglich um eine Rezension;Vermerk am oberen Rand: Antw. 15. A. 1899;;;Ja;28.05.26 14:44;3.1.460.2.1.18990401-001;
Brief;3.1.460.2.2;Kinnast, Florian;Friess, Gottfried;18781201;Admont;;;;;Ja;28.05.26 15:24;3.1.460.2.2.18781201-001;
Brief;3.1.460.2.2;Kinnast, Florian;Friess, Gottfried;18790113;Admont;;;;;Ja;28.05.26 15:24;3.1.460.2.2.18790113-001;
Brief;3.1.460.2.2;Kinnast, Florian;Friess, Gottfried;18790116;Admont;;;;;Ja;28.05.26 15:24;3.1.460.2.2.18790116-001;
Karte;3.1.460.2.2;Kinnast, Florian;Friess, Gottfried;18790120;Admont;;;;;Ja;28.05.26 15:24;3.1.460.2.2.18790120-001;
Brief;3.1.460.2.2;Kinnast, Florian;Friess, Gottfried;18790812;Admont;;;;;Ja;28.05.26 15:24;3.1.460.2.2.18790812-001;
Brief;3.1.460.2.2;Kinnast, Florian;Friess, Gottfried;18791012;Admont;;;;;Ja;28.05.26 15:24;3.1.460.2.2.18791012-001;
Brief;3.1.460.2.2;Kinnast, Florian;Friess, Gottfried;18791013;Admont;;;;;Ja;28.05.26 15:24;3.1.460.2.2.18791013-001;
Brief;3.1.460.2.2;Kinnast, Florian;Friess, Gottfried;18830222;Admont;;im Inneren ein Brief von P. Jakob Wichner;;;Ja;28.05.26 15:24;3.1.460.2.2.18830222-001;
Brief;3.1.460.2.3;Kerschbaumer, Anton;Friess, Gottfried;18720524;Tulln;;;;;Ja;28.05.26 15:24;3.1.460.2.3.18720524-001;
Brief;3.1.460.2.3;Kerschbaumer, Anton;Friess, Gottfried;18721008;St. Pölten;;;;;Ja;28.05.26 15:24;3.1.460.2.3.18721008-001;
Brief;3.1.460.2.3;Kerschbaumer, Anton;Friess, Gottfried;18730306;Tulln;;;;;Ja;28.05.26 15:24;3.1.460.2.3.18730306-001;
Brief;3.1.460.2.3;Kerschbaumer, Anton;Friess, Gottfried;18730312;Tulln;;;;;Ja;28.05.26 15:24;3.1.460.2.3.18730312-001;
Brief;3.1.460.2.3;Kerschbaumer, Anton;Friess, Gottfried;18750209;Tulln;;;;;Ja;28.05.26 15:24;3.1.460.2.3.18750209-001;
Brief;3.1.460.2.3;Kerschbaumer, Anton;Friess, Gottfried;18750326;Tulln;;;;;Ja;28.05.26 15:24;3.1.460.2.3.18750326-001;
