MMS Record ID,HOL Record ID,Item PID, Barcode, Title, Publisher, Bib Material Type, Creator, Call Number, Permanent Call Number, Permanent Physical Location, Local Location, Holding Type, Item Material Type, Policy, Seq. Number,Chronology,Enumeration,Issue year,Description,Public note,Fulfillment note,Inventory  #,Inventory date,Shelf report #,On shelf date,On shelf seq,Last shelf report,Temp library,Temp location,Temp call # type,Temp call #,Temp item policy,Alt. call # type,Alt. call #,Pieces,Pages,Internal note (1),Internal note (2),Internal note (3),Statistics note (1),Statistics note (2),Statistics note (3),Creation date,Modification date,Status,Process type,Process Id,Number of loans,Last loan,Number of loans in house,Last loan in house,Year-to-date Loans,Receiving date,Copy ID, Receiving number, Weeding number, Weeding date, Other System Number, Committed to Retain, Retention Reason, Retention Note, Temp location in use
"'9913210009524'",'224419950009524','234419800009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2014,76 3,,"76.2014,3",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:55,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419810009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2014,76 4,,"76.2014,4",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:54,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419820009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2015,77 1,,"77.2015,1",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:54,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419830009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2015,77 2,,"77.2015,2",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:53,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419840009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2015,77 3,,"77.2015,3",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:52,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419850009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2015,77 4,,"77.2015,4",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:51,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419860009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2016,78 1,,"78.2016,1",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:50,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419870009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2016,78 3,,"78.2016,3",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:49,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419880009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2016,78 4,,"78.2016,4",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:49,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419890009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2017,79 1,,"79.2017,1",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:48,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419900009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2017,79 2,,"79.2017,2",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:47,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419910009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2018,80 1,,"80.2018,1",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:46,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419920009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2018,80 3,,"80.2018,3",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 16:32:46,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210009524'",'224419950009524','234419930009524',,Collectanea Cisterciensia revue trimestrielle de spiritualité monastique: histoire et doctrine,Cistercensia,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2025,87 4,,"87.2025,4",,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 14:05:36,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC02764693;AC02764693;(Aleph)002707438ACC01;(DE-600)ZDB-301382-0;(DE-599)OBVAC02764693,,,,0
"'9913210109524'",'224419990009524','234419970009524',,Biblia Sacra Das ist Die gantze Heilige Schrifft/ Alten und Newen Testaments nach der letzten Römischen Sixtiner Edition,Dehmen,Book,Biblia,7 3.31,7 3.31,S_HS,BIB,x,BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,2026-01-13 08:45:33,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC07511933;(DE-599)OBVAC07511933,,,,0
"'9913310009524'",'224429960009524','234429400009524',,Einfach leben ein Brief von Anselm Grün,Herder,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2025,5,,"2025,5",,,,,,,,,,,,,,,,,,,,,,,,2026-01-15,2026-01-15 20:36:40,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC13781195;(Aleph)013655512ACC01;AC13781195;(DE-599)ZDB2297058-7;(OCoLC)315841403;oai:dnb.de/zdb/978742354;(DE-600)2297058-7,,,,0
"'9913310009524'",'224429960009524','234429410009524',,Einfach leben ein Brief von Anselm Grün,Herder,Journal,,Vorläufig,Vorläufig,SEK,BIB,y,ISSUE,,,2025,9,,"2025,9",,,,,,,,,,,,,,,,,,,,,,,,2026-01-15,2026-01-15 20:36:39,Item in place,,,0,,0,,0,,,,,,(AT-OBV)AC13781195;(Aleph)013655512ACC01;AC13781195;(DE-599)ZDB2297058-7;(OCoLC)315841403;oai:dnb.de/zdb/978742354;(DE-600)2297058-7,,,,0
